,0,1,2,3,4,5,6,7,8,9
0,941.0,949.0,918.0,929.5,915.0,940.7,908.1,1009.7,867.4,1123.2
1,941.0,949.0,918.0,929.1,915.0,940.9,907.8,1010.5,868.0,1123.6
2,941.0,949.0,918.0,929.8,915.0,940.1,907.8,1009.7,868.0,1123.1
3,941.0,949.0,918.0,929.3,915.0,940.6,907.8,1007.4,867.4,1125.2
4,941.0,949.0,918.0,929.3,915.0,941.5,907.2,1009.7,868.0,1122.7
5,941.0,949.0,918.0,930.0,915.0,941.9,908.2,1008.5,868.0,1123.0
6,941.0,949.0,918.0,929.6,915.0,939.6,908.6,1008.9,867.6,1122.4
7,941.0,949.0,918.0,929.7,915.0,940.9,908.7,1008.2,867.8,1122.8
8,941.0,949.0,918.0,929.2,915.0,940.7,908.7,1009.0,868.0,1123.9
9,941.0,949.0,918.0,928.6,915.0,940.6,908.6,1007.6,867.8,1123.2
10,941.0,949.0,918.0,929.2,915.0,941.0,908.1,1008.6,868.0,1123.7
11,941.1,949.0,918.0,929.4,915.0,940.6,908.7,1010.8,868.0,1123.8
12,941.0,949.0,918.0,929.5,915.0,940.9,908.8,1011.8,868.0,1123.6
13,941.0,949.0,918.0,929.3,915.0,941.1,908.8,1010.6,867.8,1123.3
14,941.0,949.0,918.0,929.4,915.0,940.9,909.0,1011.7,867.4,1123.1
15,941.0,949.0,918.0,929.8,915.0,939.9,909.0,1008.7,868.0,1123.0
16,941.0,949.0,918.0,928.9,915.0,940.5,908.2,1009.5,867.8,1122.6
17,941.0,949.0,918.0,929.8,915.0,940.5,908.1,1007.0,868.0,1123.5
18,941.0,949.0,918.0,929.8,915.0,940.9,908.3,1009.1,868.0,1123.1
19,941.0,948.9,918.0,929.7,915.0,940.0,908.9,1010.7,868.0,1125.0
20,941.0,949.0,918.0,929.5,915.0,941.8,908.7,1010.1,868.0,1123.5
21,941.0,949.0,918.0,929.8,915.0,940.3,908.3,1011.3,868.0,1122.5
22,941.0,949.0,918.0,929.5,915.0,939.8,909.0,1008.2,868.0,1124.1
23,941.0,949.0,918.0,929.6,915.0,941.3,909.0,1008.6,868.0,1124.0
24,941.0,949.0,918.0,929.1,915.0,940.2,908.8,1007.8,867.4,1123.7
25,941.0,949.0,918.0,929.4,915.0,940.2,908.2,1011.2,868.0,1122.6
26,941.0,949.0,918.0,929.7,915.0,940.7,908.8,1010.3,868.0,1123.2
27,941.0,949.0,918.0,929.5,915.0,939.6,908.2,1006.5,868.0,1125.0
28,941.0,949.0,918.0,929.2,915.0,940.4,908.8,1008.5,868.0,1123.0
29,941.0,949.0,918.0,929.8,915.0,940.2,908.9,1010.7,868.0,1123.8
30,941.0,949.0,918.0,929.8,915.0,940.9,908.1,1009.9,868.0,1123.7
31,941.0,949.0,918.0,929.7,915.0,940.4,908.1,1009.0,867.8,1122.7
32,941.0,949.0,918.0,930.0,915.0,940.9,908.8,1012.8,867.8,1124.0
33,941.0,949.0,918.0,929.8,915.0,940.6,908.7,1007.7,868.0,1125.4
34,941.1,949.0,918.0,929.4,915.0,939.8,908.8,1009.0,868.0,1125.7
35,941.0,949.0,918.0,929.2,915.0,940.5,908.1,1010.8,868.0,1123.6
36,941.0,949.0,918.0,929.7,915.0,940.5,908.7,1010.3,868.0,1123.2
37,941.0,949.0,918.0,929.5,915.0,940.5,908.6,1010.0,868.0,1124.9
38,941.0,949.0,918.0,929.1,915.0,941.0,908.4,1009.6,868.0,1123.5
39,941.0,949.0,918.0,929.4,915.0,940.8,908.6,1011.7,868.0,1122.3
40,941.0,949.0,918.0,929.6,915.0,941.3,908.7,1009.1,868.0,1124.5
41,941.0,949.0,918.0,929.8,915.0,939.6,908.0,1006.0,868.0,1122.8
42,941.0,949.0,918.0,929.8,915.0,940.7,908.6,1006.4,868.0,1124.2
43,941.0,949.0,918.0,929.3,915.0,940.8,908.3,1006.8,868.0,1125.0
44,941.0,949.0,918.0,929.1,915.0,940.0,908.6,1007.7,868.0,1124.5
45,941.0,949.0,918.0,930.0,915.0,941.0,907.9,1010.2,868.0,1125.1
46,941.0,949.0,918.0,929.6,915.0,940.4,908.5,1007.7,868.0,1123.5
47,941.0,949.0,918.0,929.0,915.0,940.0,908.4,1007.3,868.0,1123.0
48,941.0,949.0,918.0,929.1,915.0,939.9,907.9,1010.7,868.0,1124.0
49,941.0,949.0,918.0,929.6,915.0,941.0,908.2,1008.1,868.0,1123.7
