,A,B,CLASS
0,801,1051,1
1,859,1047,1
2,853,1053,1
3,875,1053,1
4,859,1047,1
5,847,1045,1
6,877,1045,1
7,877,1045,1
8,875,1061,1
9,847,1049,1
10,877,1047,1
11,877,1063,1
12,873,1047,1
13,877,1055,1
14,877,1047,1
15,877,1067,1
16,877,1047,1
17,877,1047,1
18,849,1051,1
19,875,1045,1
20,877,1045,1
21,877,1047,1
22,875,1027,1
23,877,1047,1
24,877,1057,1
25,877,1049,1
26,855,1099,1
27,875,1049,1
28,877,1053,1
29,857,1065,1
30,877,1045,1
31,877,1045,1
32,877,1053,1
33,859,1047,1
34,847,1063,1
35,877,1045,1
36,877,1055,1
37,875,1047,1
38,877,1047,1
39,859,1051,1
40,877,1047,1
41,875,1045,1
42,847,1047,1
43,875,1047,1
44,877,1049,1
45,857,1049,1
46,833,1081,1
47,849,1075,1
48,877,1047,1
49,847,1047,1
50,784,1200,2
51,780,1214,2
52,834,1212,2
53,834,1194,2
54,784,1206,2
55,834,1200,2
56,834,1202,2
57,780,1218,2
58,784,1196,2
59,782,1236,2
60,836,1202,2
61,836,1202,2
62,776,1216,2
63,834,1202,2
64,834,1202,2
65,834,1198,2
66,840,1196,2
67,834,1198,2
68,784,1214,2
69,838,1204,2
70,784,1148,2
71,838,1212,2
72,838,1202,2
73,834,1236,2
74,835,1213,2
75,772,1200,2
76,780,1200,2
77,838,1216,2
78,784,1208,2
79,784,1186,2
80,780,1202,2
81,800,1192,2
82,836,1252,2
83,838,1188,2
84,778,1202,2
85,834,1196,2
86,838,1186,2
87,784,1212,2
88,838,1212,2
89,796,1192,2
90,836,1206,2
91,838,1202,2
92,834,1212,2
93,784,1202,2
94,782,1196,2
95,760,1246,2
96,834,1194,2
97,834,1202,2
98,784,1198,2
99,780,1202,2
100,905,953,3
101,901,945,3
102,901,959,3
103,891,941,3
104,905,939,3
105,905,939,3
106,901,943,3
107,905,941,3
108,895,939,3
109,897,957,3
110,899,949,3
111,905,939,3
112,905,943,3
113,905,945,3
114,897,959,3
115,905,941,3
116,893,943,3
117,905,941,3
118,897,937,3
119,889,939,3
120,905,943,3
121,905,939,3
122,891,941,3
123,901,941,3
124,905,947,3
125,903,943,3
126,901,949,3
127,903,941,3
128,901,939,3
129,905,939,3
130,899,939,3
131,905,939,3
132,899,943,3
133,893,937,3
134,885,949,3
135,903,951,3
136,901,939,3
137,883,939,3
138,893,941,3
139,903,943,3
140,901,939,3
141,905,937,3
142,905,947,3
143,901,937,3
144,901,939,3
145,899,951,3
146,889,949,3
147,903,959,3
148,901,945,3
149,905,949,3
150,883,955,4
151,897,957,4
152,895,955,4
153,897,957,4
154,873,965,4
155,897,951,4
156,885,959,4
157,895,965,4
158,897,953,4
159,895,951,4
160,897,961,4
161,885,959,4
162,881,965,4
163,895,961,4
164,889,975,4
165,897,951,4
166,893,951,4
167,885,955,4
168,895,955,4
169,885,967,4
170,895,961,4
171,883,953,4
172,885,965,4
173,887,953,4
174,881,953,4
175,895,983,4
176,891,951,4
177,885,949,4
178,881,961,4
179,865,1009,4
180,887,959,4
181,881,981,4
182,895,953,4
183,897,957,4
184,897,957,4
185,797,1019,4
186,895,951,4
187,897,949,4
188,893,959,4
189,887,975,4
190,877,951,4
191,877,955,4
192,897,963,4
193,897,965,4
194,881,971,4
195,895,951,4
196,877,959,4
197,897,959,4
198,879,959,4
199,881,961,4
200,912,970,5
201,888,970,5
202,916,970,5
203,922,956,5
204,912,976,5
205,920,968,5
206,918,968,5
207,910,972,5
208,862,968,5
209,922,956,5
210,920,976,5
211,878,972,5
212,912,974,5
213,922,970,5
214,920,976,5
215,922,962,5
216,910,964,5
217,910,1002,5
218,912,978,5
219,922,956,5
220,910,968,5
221,874,976,5
222,912,970,5
223,888,972,5
224,910,976,5
225,860,980,5
226,922,958,5
227,888,972,5
228,882,1016,5
229,912,976,5
230,884,970,5
231,922,970,5
232,912,1008,5
233,888,970,5
234,912,974,5
235,922,972,5
236,910,972,5
237,874,1000,5
238,922,970,5
239,888,974,5
240,916,970,5
241,916,976,5
242,886,978,5
243,922,974,5
244,886,976,5
245,872,984,5
246,912,972,5
247,910,978,5
248,922,962,5
249,876,972,5
