,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,941,941,941,941,941,941,941,941,941,941,941,941.1,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941.1,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941
1,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,948.9,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949,949
2,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918
3,929.5,929.1,929.8,929.3,929.3,930,929.6,929.7,929.2,928.6,929.2,929.4,929.5,929.3,929.4,929.8,928.9,929.8,929.8,929.7,929.5,929.8,929.5,929.6,929.1,929.4,929.7,929.5,929.2,929.8,929.8,929.7,930,929.8,929.4,929.2,929.7,929.5,929.1,929.4,929.6,929.8,929.8,929.3,929.1,930,929.6,929,929.1,929.6
4,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915
5,940.7,940.9,940.1,940.6,941.5,941.9,939.6,940.9,940.7,940.6,941,940.6,940.9,941.1,940.9,939.9,940.5,940.5,940.9,940,941.8,940.3,939.8,941.3,940.2,940.2,940.7,939.6,940.4,940.2,940.9,940.4,940.9,940.6,939.8,940.5,940.5,940.5,941,940.8,941.3,939.6,940.7,940.8,940,941,940.4,940,939.9,941
6,908.1,907.8,907.8,907.8,907.2,908.2,908.6,908.7,908.7,908.6,908.1,908.7,908.8,908.8,909,909,908.2,908.1,908.3,908.9,908.7,908.3,909,909,908.8,908.2,908.8,908.2,908.8,908.9,908.1,908.1,908.8,908.7,908.8,908.1,908.7,908.6,908.4,908.6,908.7,908,908.6,908.3,908.6,907.9,908.5,908.4,907.9,908.2
7,1009.7,1010.5,1009.7,1007.4,1009.7,1008.5,1008.9,1008.2,1009,1007.6,1008.6,1010.8,1011.8,1010.6,1011.7,1008.7,1009.5,1007,1009.1,1010.7,1010.1,1011.3,1008.2,1008.6,1007.8,1011.2,1010.3,1006.5,1008.5,1010.7,1009.9,1009,1012.8,1007.7,1009,1010.8,1010.3,1010,1009.6,1011.7,1009.1,1006,1006.4,1006.8,1007.7,1010.2,1007.7,1007.3,1010.7,1008.1
8,867.4,868,868,867.4,868,868,867.6,867.8,868,867.8,868,868,868,867.8,867.4,868,867.8,868,868,868,868,868,868,868,867.4,868,868,868,868,868,868,867.8,867.8,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
9,1123.2,1123.6,1123.1,1125.2,1122.7,1123,1122.4,1122.8,1123.9,1123.2,1123.7,1123.8,1123.6,1123.3,1123.1,1123,1122.6,1123.5,1123.1,1125,1123.5,1122.5,1124.1,1124,1123.7,1122.6,1123.2,1125,1123,1123.8,1123.7,1122.7,1124,1125.4,1125.7,1123.6,1123.2,1124.9,1123.5,1122.3,1124.5,1122.8,1124.2,1125,1124.5,1125.1,1123.5,1123,1124,1123.7
